model,type,samples,fairness_considuration_ratio,top_results_to_compare,auc,percision,similarity_between_fair_and_regular_predictions,fairness_score_of_fair_predictions,fairness_score_of_regular_predictions
0,random,5,0.1,1,0.8,0.22,0.9,0.73,0.67
0,random,5,0.1,2,0.8,0.23,0.79,0.74,0.61
0,random,5,0.1,3,0.8,0.23,0.75,0.76,0.61
0,random,5,0.1,4,0.8,0.24,0.74,0.77,0.59
0,random,5,0.1,5,0.8,0.24,0.72,0.77,0.58
0,random,5,0.1,6,0.8,0.24,0.7,0.78,0.57
0,random,5,0.1,7,0.8,0.24,0.68,0.78,0.56
0,random,5,0.1,8,0.8,0.25,0.67,0.79,0.55
0,random,5,0.1,9,0.8,0.25,0.66,0.79,0.55
0,random,5,0.1,10,0.8,0.25,0.65,0.8,0.55
0,random,5,0.15,1,0.8,0.22,0.83,0.76,0.67
0,random,5,0.15,2,0.8,0.23,0.68,0.8,0.61
0,random,5,0.15,3,0.8,0.23,0.65,0.82,0.61
0,random,5,0.15,4,0.8,0.24,0.64,0.83,0.59
0,random,5,0.15,5,0.8,0.24,0.6,0.84,0.58
0,random,5,0.15,6,0.8,0.24,0.58,0.85,0.57
0,random,5,0.15,7,0.8,0.24,0.55,0.86,0.56
0,random,5,0.15,8,0.8,0.25,0.53,0.87,0.55
0,random,5,0.15,9,0.8,0.25,0.52,0.87,0.55
0,random,5,0.15,10,0.8,0.25,0.51,0.88,0.55
0,random,5,0.2,1,0.8,0.22,0.75,0.8,0.67
0,random,5,0.2,2,0.8,0.23,0.55,0.86,0.61
0,random,5,0.2,3,0.8,0.23,0.57,0.86,0.61
0,random,5,0.2,4,0.8,0.24,0.55,0.87,0.59
0,random,5,0.2,5,0.8,0.24,0.51,0.89,0.58
0,random,5,0.2,6,0.8,0.24,0.49,0.9,0.57
0,random,5,0.2,7,0.8,0.24,0.46,0.91,0.56
0,random,5,0.2,8,0.8,0.25,0.44,0.92,0.55
0,random,5,0.2,9,0.8,0.25,0.43,0.92,0.55
0,random,5,0.2,10,0.8,0.25,0.42,0.93,0.55
0,random,5,0.25,1,0.8,0.22,0.62,0.87,0.67
0,random,5,0.25,2,0.8,0.23,0.49,0.9,0.61
0,random,5,0.25,3,0.8,0.23,0.51,0.89,0.61
0,random,5,0.25,4,0.8,0.24,0.49,0.91,0.59
0,random,5,0.25,5,0.8,0.24,0.46,0.92,0.58
0,random,5,0.25,6,0.8,0.24,0.43,0.93,0.57
0,random,5,0.25,7,0.8,0.24,0.41,0.94,0.56
0,random,5,0.25,8,0.8,0.25,0.39,0.94,0.55
0,random,5,0.25,9,0.8,0.25,0.38,0.95,0.55
0,random,5,0.25,10,0.8,0.25,0.37,0.95,0.55
0,popular,1,0.05,1,0.81,0.3,0.94,0.48,0.44
0,popular,1,0.05,2,0.81,0.32,0.93,0.5,0.46
0,popular,1,0.05,3,0.81,0.33,0.87,0.54,0.46
0,popular,1,0.05,4,0.81,0.32,0.87,0.56,0.47
0,popular,1,0.05,5,0.81,0.32,0.88,0.56,0.48
0,popular,1,0.05,6,0.81,0.32,0.87,0.56,0.47
0,popular,1,0.05,7,0.81,0.32,0.87,0.56,0.47
0,popular,1,0.05,8,0.81,0.32,0.87,0.56,0.48
0,popular,1,0.05,9,0.81,0.33,0.88,0.57,0.48
0,popular,1,0.05,10,0.81,0.32,0.87,0.57,0.48
0,popular,1,0.1,1,0.81,0.3,0.84,0.55,0.44
0,popular,1,0.1,2,0.81,0.32,0.79,0.6,0.46
0,popular,1,0.1,3,0.81,0.33,0.74,0.63,0.46
0,popular,1,0.1,4,0.81,0.32,0.74,0.64,0.47
0,popular,1,0.1,5,0.81,0.32,0.71,0.66,0.48
0,popular,1,0.1,6,0.81,0.32,0.7,0.67,0.47
0,popular,1,0.1,7,0.81,0.32,0.7,0.67,0.47
0,popular,1,0.1,8,0.81,0.32,0.71,0.67,0.48
0,popular,1,0.1,9,0.81,0.33,0.72,0.67,0.48
0,popular,1,0.1,10,0.81,0.32,0.72,0.67,0.48
0,popular,1,0.15,1,0.81,0.3,0.68,0.67,0.44
